,Date,vehicle_category,GVWR_Class,Fuel_Type,Model_Year,Fuel_Technology,Electric_Mile_Range,Vehicle_Population
7151,2022,P,,4.0,2022.0,FCEV,>150 miles,926
7198,2023,P,,4.0,2022.0,FCEV,>150 miles,912
7293,2022,P,,4.0,2022.0,FCEV,>150 miles,885
7334,2023,P,,4.0,2022.0,FCEV,>150 miles,873
7342,2023,P,,4.0,2022.0,FCEV,>150 miles,870
7550,2022,P,,4.0,2022.0,FCEV,>150 miles,820
8137,2023,P,,4.0,2022.0,FCEV,>150 miles,675
8172,2022,P,,4.0,2022.0,FCEV,>150 miles,669
9153,2021,P,,4.0,2022.0,FCEV,>150 miles,505
9292,2021,P,,4.0,2022.0,FCEV,>150 miles,488
9467,2023,P,,4.0,2024.0,FCEV,>150 miles,468
9748,2023,P,,4.0,2023.0,FCEV,>150 miles,435
9823,2021,P,,4.0,2022.0,FCEV,>150 miles,429
9910,2023,P,,4.0,2023.0,FCEV,>150 miles,421
10142,2023,P,,4.0,2024.0,FCEV,>150 miles,400
10671,2023,P,,4.0,2024.0,FCEV,>150 miles,356
10752,2021,P,,4.0,2022.0,FCEV,>150 miles,348
10895,2023,P,,4.0,2023.0,FCEV,>150 miles,338
11437,2023,P,,4.0,2024.0,FCEV,>150 miles,302
11659,2023,P,,4.0,2023.0,FCEV,>150 miles,289
11864,2020,P,,4.0,2021.0,FCEV,>150 miles,277
12211,2022,P,,4.0,2021.0,FCEV,>150 miles,256
12280,2021,P,,4.0,2021.0,FCEV,>150 miles,252
12596,2022,P,,4.0,2023.0,FCEV,>150 miles,235
13480,2020,P,,4.0,2021.0,FCEV,>150 miles,191
13894,2023,P,,4.0,2021.0,FCEV,>150 miles,173
14001,2022,P,,4.0,2023.0,FCEV,>150 miles,169
14145,2022,P,,4.0,2023.0,FCEV,>150 miles,164
14269,2022,P,,4.0,2021.0,FCEV,>150 miles,160
14370,2021,P,,4.0,2021.0,FCEV,>150 miles,157
14548,2022,P,,4.0,2021.0,FCEV,>150 miles,150
14590,2020,P,,4.0,2021.0,FCEV,>150 miles,149
14780,2021,P,,4.0,2021.0,FCEV,>150 miles,143
14936,2022,P,,4.0,2023.0,FCEV,>150 miles,137
15536,2022,P,,4.0,2021.0,FCEV,>150 miles,119
15843,2020,P,,4.0,2021.0,FCEV,>150 miles,111
17330,2021,P,,4.0,2021.0,FCEV,>150 miles,77
18815,2023,P,,4.0,2021.0,FCEV,>150 miles,56
19451,2023,P,,4.0,2021.0,FCEV,>150 miles,48
19899,2022,P,,4.0,2023.0,FCEV,51 to 100 miles,44
20112,2022,P,,4.0,2023.0,FCEV,51 to 100 miles,42
20113,2022,P,,4.0,2023.0,FCEV,51 to 100 miles,42
20210,2023,P,,4.0,2021.0,FCEV,>150 miles,41
20737,2022,P,,4.0,2023.0,FCEV,51 to 100 miles,37
22132,2019,P,,4.0,2015.0,FCEV,,28
22322,2019,P,,4.0,2016.0,FCEV,,27
23441,2022,T1,1,4.0,2020.0,FCEV,>150 miles,21
24328,2020,T1,1,4.0,2020.0,FCEV,>150 miles,18
24604,2020,P,,4.0,2015.0,FCEV,,17
24896,2020,P,,4.0,2016.0,FCEV,,16
25222,2020,T1,1,4.0,2021.0,FCEV,>150 miles,15
25493,2021,T1,1,4.0,2020.0,FCEV,>150 miles,14
25562,2020,T1,1,4.0,2021.0,FCEV,>150 miles,14
25758,2022,T1,1,4.0,2021.0,FCEV,>150 miles,13
25828,2021,T1,1,4.0,2021.0,FCEV,>150 miles,13
25829,2021,T1,1,4.0,2020.0,FCEV,>150 miles,13
25978,2019,T1,1,4.0,2020.0,FCEV,>150 miles,13
25979,2019,T1,1,4.0,2020.0,FCEV,>150 miles,13
26223,2021,T1,1,4.0,2021.0,FCEV,>150 miles,12
26297,2020,T1,1,4.0,2021.0,FCEV,>150 miles,12
26375,2019,T1,1,4.0,2020.0,FCEV,>150 miles,12
27192,2020,T1,1,4.0,2020.0,FCEV,>150 miles,10
27193,2020,P,,4.0,2016.0,FCEV,,10
27298,2019,T2,,4.0,2020.0,FCEV,>150 miles,10
27600,2021,T1,1,4.0,2020.0,FCEV,>150 miles,9
27705,2020,T1,1,4.0,2020.0,FCEV,>150 miles,9
27706,2020,T1,1,4.0,2020.0,FCEV,>150 miles,9
28057,2022,T1,1,4.0,2021.0,FCEV,>150 miles,8
28058,2022,T1,1,4.0,2021.0,FCEV,>150 miles,8
28392,2019,P,,4.0,2017.0,FCEV,,8
28629,2022,T1,1,4.0,2021.0,FCEV,>150 miles,7
28770,2021,T1,1,4.0,2021.0,FCEV,>150 miles,7
28919,2020,T1,1,4.0,2021.0,FCEV,>150 miles,7
28920,2020,P,,4.0,2017.0,FCEV,,7
29044,2019,P,,4.0,2017.0,FCEV,,7
29510,2021,T1,1,4.0,2020.0,FCEV,>150 miles,6
29702,2020,T2,1,4.0,2020.0,FCEV,>150 miles,6
29846,2019,T1,1,4.0,2020.0,FCEV,>150 miles,6
29847,2019,P,,4.0,2016.0,FCEV,,6
29848,2019,P,,4.0,2016.0,FCEV,,6
30014,2023,P,,4.0,2020.0,FCEV,>150 miles,5
30436,2021,T1,1,4.0,2021.0,FCEV,>150 miles,5
30437,2021,P,,4.0,2017.0,FCEV,,5
30660,2020,P,,4.0,2017.0,FCEV,,5
30661,2020,P,,4.0,2016.0,FCEV,,5
30662,2020,P,,4.0,2016.0,FCEV,,5
30887,2019,P,,4.0,2017.0,FCEV,,5
31637,2021,P,,4.0,2017.0,FCEV,,4
32162,2019,P,,4.0,2016.0,FCEV,,4
32775,2022,T1,1,4.0,2020.0,FCEV,>150 miles,3
33159,2021,P,,4.0,2016.0,FCEV,,3
33522,2020,T2,1,4.0,2020.0,FCEV,>150 miles,3
33523,2020,T2,1,4.0,2020.0,FCEV,>150 miles,3
33524,2020,P,,4.0,2017.0,FCEV,,3
34251,2023,P,,4.0,2017.0,FCEV,>150 miles,2
34737,2022,P,,4.0,2017.0,FCEV,>150 miles,2
35231,2021,T2,1,4.0,2020.0,FCEV,>150 miles,2
35232,2021,T2,1,4.0,2020.0,FCEV,>150 miles,2
35233,2021,P,,4.0,2017.0,FCEV,>150 miles,2
35743,2020,P,,4.0,,FCEV,,2
35744,2020,P,,4.0,2019.0,FCEV,>150 miles,2
35745,2020,P,,4.0,2017.0,FCEV,,2
36235,2019,T2,,4.0,2020.0,FCEV,>150 miles,2
36236,2019,T2,,4.0,2020.0,FCEV,>150 miles,2
36237,2019,P,,4.0,2021.0,FCEV,>150 miles,2
36238,2019,P,,4.0,2018.0,FCEV,,2
36239,2019,P,,4.0,2017.0,FCEV,,2
36240,2019,P,,4.0,2015.0,FCEV,,2
36818,2023,P,,4.0,2015.0,FCEV,>150 miles,1
36819,2023,P,,4.0,2010.0,FCEV,>150 miles,1
37743,2022,T2,1,4.0,2020.0,FCEV,>150 miles,1
37744,2022,T1,1,4.0,2020.0,FCEV,>150 miles,1
37745,2022,P,,4.0,2015.0,FCEV,>150 miles,1
38624,2021,P,,4.0,2018.0,FCEV,,1
38625,2021,P,,4.0,2017.0,FCEV,,1
38626,2021,P,,4.0,2017.0,FCEV,,1
38627,2021,P,,4.0,2016.0,FCEV,,1
39474,2020,P,,4.0,2019.0,FCEV,>150 miles,1
39475,2020,P,,4.0,2015.0,FCEV,,1
39476,2020,P,,4.0,2015.0,FCEV,,1
40327,2019,T2,,4.0,2020.0,FCEV,>150 miles,1
40328,2019,P,,4.0,2019.0,FCEV,>150 miles,1
40329,2019,P,,4.0,2018.0,FCEV,,1
40330,2019,P,,4.0,2018.0,FCEV,,1
40331,2019,P,,4.0,2015.0,FCEV,,1
